,IPC_CHL,FX_ARG,IPC_ARG,FX_ARG_BLUE,FX_PER,IPC_PER,FX_BOL,IPC_BOL,FX_BRA,IPC_BRA,FX_USA,IPC_USA,FX_CAN,IPC_CAN,FX_ESP,IPC_ESP,FX_FRA,IPC_FRA,FX_DEU,IPC_DEU,FX_GBR,IPC_GBR,FX_CHN,IPC_CHN,FX_AUS,IPC_AUS
2001-09-01,3.9,681.2417647058824,,,195.2435294117647,80.83090336258873,,64.01971658222496,256.0835294117647,0.2798871404580979,681.2417647058824,178.1,435.19,104.44143592366312,620.5941176470589,105.89433110638146,620.5941176470589,102.78108177378282,620.5941176470589,102.77749120363224,997.3458823529412,1.7,82.36058823529413,-0.1,345.76176470588234,107.50437476625672
2001-10-01,3.4,708.0981818181818,,,204.54818181818183,80.84389603102197,,64.06893439359379,258.9368181818182,0.829987820830892,708.0981818181818,177.6,450.8609090909091,104.65870532971869,641.5545454545455,106.20602130136564,641.5545454545455,102.9200639137536,641.5545454545455,102.9458787713796,1028.310909090909,1.6,85.57,0.2,356.5031818181818,107.8914386699454
2001-11-01,3.1,689.4014285714286,,,200.4409523809524,80.85688869945521,,64.11815220496263,270.6666666666667,0.710195499485528,689.4014285714286,177.5,432.56714285714287,104.8764267210844,611.9619047619047,106.51862892768574,611.9619047619047,103.05923398748514,611.9619047619047,103.11454222028183,989.99,1.2,83.38857142857142,-0.3,356.04523809523806,108.2798961770652
2001-12-01,2.6,669.1378947368421,,,194.83263157894737,80.86988136788845,,64.16737001633146,282.1015789473684,0.65021599831199,669.1378947368421,177.4,424.4736842105263,105.0946010380248,596.98,106.8321566857162,596.98,103.1985922491043,596.98,103.28348200233444,963.3757894736842,1.4,80.90526315789474,-0.3,344.27684210526314,108.66975230521278
2002-01-01,2.2,447.5381818181818,,,192.89363636363635,80.8828740363217,,64.2165878277003,281.19454545454545,0.520232808319314,667.2818181818183,177.7,417.14272727272726,105.31322922276048,589.4713636363635,107.14660728377989,589.4713636363635,103.3381389530816,589.4713636363635,103.45269857027336,956.1895454545454,1.8,80.62272727272727,-1.0,344.9640909090909,109.0610120900503
2002-02-01,2.5,339.169,,,195.255,81.03516149336599,,64.3951781718101,280.219,0.3600280997541339,678.8349999999999,178.0,425.765,105.50940579879202,590.5185,107.41656376792348,590.5185,103.50233134299758,590.5185,103.5743966136831,965.6905,1.7,82.029,0.0,347.9065,109.32835571757072
2002-03-01,2.6,283.2275,,,191.9215,81.18744895041027,,64.5737685159199,282.718,0.599899378773293,663.264,178.5,417.912,105.70594781085916,581.3774999999999,107.68720040895846,581.3774999999999,103.66678461569292,581.3774999999999,103.69623781830542,943.595,1.7,80.1365,-0.8,347.612,109.59635469033144
2002-04-01,2.5,225.2790476190476,,,189.3061904761905,81.33973640745457,,64.75235886002969,281.0909523809524,0.8001696011654529,650.8209523809523,179.3,411.2057142857143,105.902855939693,575.7685714285714,107.95851892054397,575.7685714285714,103.83149918568034,575.7685714285714,103.81822235255,938.0328571428572,1.6,78.68761904761905,-1.3,348.1842857142857,109.86501061479449
2002-05-01,2.1,200.1355,,,189.5805,81.49202386449886,,64.9309492041395,264.571,0.2097792733763809,653.9065,179.5,421.4735,106.10013086729268,599.2135000000001,108.23052102065668,599.2135000000001,103.99647546813108,599.2135000000001,103.94035038502469,954.5625,1.2,79.036,-1.1,358.99,110.13432510135983
2002-06-01,2.0,187.8945,,,193.671,81.64431132154316,,65.1095395482493,249.249,0.4197565412061,673.766,179.6,440.05,106.29777327692784,642.6949999999999,108.50320843160178,642.6949999999999,104.16171387887604,642.6949999999999,104.06262208453565,998.3655,1.1,81.44550000000001,-0.8,382.775,110.40429976437508
2002-07-01,2.6,193.80826086956523,,,197.18869565217392,81.79659877858745,,65.2881298923591,239.67521739130436,1.19023375955242,696.334347826087,180.0,451.6573913043479,106.49578385314076,691.39,108.7765828800238,691.39,104.32721483440692,691.39,104.1850376200876,1083.0286956521738,1.4,84.14173913043479,-0.9,385.5813043478261,110.67493622214504
